시간,규모,진앙(km),위도,경도,위치
1978-08-30 2:29,4.5, ,39.1,124.2,북한 평안북도 철산 남남서쪽 84km 해역
1978-09-16 2:07,5.2, ,36.6,127.9,경북 상주시 북서쪽 32km 지역
1978-10-07 18:19,5, ,36.6,126.7,충남 홍성군 동쪽 3km 지역
1978-11-23 11:06,4.6, ,38.4,125.6,북한 황해남도 안악 남동쪽 15km 지역
1978-12-04 15:16,2.8, ,37.4,128.7,강원 정선군 북동쪽 4km 지역
1978-12-12 21:58,3.3, ,35.9,126.3,전북 군산시 서남서쪽 38km 해역
1979-01-01 0:11,2.9, ,36.6,126.7,충남 홍성군 동쪽 3km 지역
1979-01-24 0:40,3, ,35.7,126,전북 변산반도 서쪽 40km 해역
1979-01-29 10:06,3.3, ,38.3,126,북한 황해북도 사리원 남동쪽 31km 지역
1979-01-30 0:33,3, ,36.1,128.3,경북 구미시 서남서쪽 5km 지역
1979-02-04 9:29,3.7, ,38.4,125.7,북한 황해북도 사리원 남남서쪽 13km 지역
1979-02-08 8:52,4, ,36.6,126.7,충남 홍성군 동쪽 3km 지역
1979-02-24 14:44,2.7, ,38.3,125.1,북한 황해남도 장연 북쪽 6km 지역
1979-02-24 19:00,2.9, ,36.6,126.7,충남 홍성군 동쪽 3km 지역
1979-03-12 11:09,3.8, ,36.6,126.7,충남 홍성군 동쪽 3km 지역
1979-04-09 8:49,3.3, ,39.7,125.7,북한 평안남도 안주 북북동쪽 10km 지역
1979-04-24 5:44,3, ,36.8,128.5,경북 영주시 서쪽 11km 지역
1979-08-13 12:12,3.5, ,36.3,128.5,경북 군위군 북서쪽 10km 지역
1979-08-14 10:05,2.5, ,39.5,125.8,북한 평안남도 안주 남동쪽 17km 지역
1979-08-18 16:34,2.4, ,37,126.4,충남 서산시 북쪽 25km 지역
1979-08-24 8:30,3.8, ,36.6,124,충남 태안군 서격렬비열도 서쪽 137km 해역
1979-08-30 0:39,3, ,38.3,127.9,강원 양구군 북북서쪽 23km 지역
1979-10-10 6:59,3.1, ,38.9,125.7,북한 평양 남남서쪽 14km 지역
1979-10-27 12:59,3.7, ,39.5,125.7,북한 평안남도 안주 남남동쪽 13km 지역
1979-11-19 4:13,3.2, ,35.9,126.1,전북 군산시 서쪽 56km 해역
1979-12-19 7:32,3.5, ,35.4,127.5,전북 남원시 동쪽 10km 지역
1979-12-20 15:07,3, ,36.2,127.3,충남 논산시 동쪽 18km 지역
1979-12-25 16:55,3.2, ,38.8,126.3,북한 황해북도 신계 북북서쪽 39km 지역
1980-01-08 8:44,5.3, ,40.2,125,북한 평안북도 삭주 남남서쪽 20km 지역
1980-05-15 14:43,3.1, ,38.3,125.7,북한 황해북도 사리원 남남서쪽 24km 지역
1980-06-30 13:29,2.8, ,39.4,125.7,북한 평안남도 평성 북서쪽 23km 지역
1980-06-30 23:00,3.6, ,34,126,전남 진도군 남남서쪽 59km 해역
1980-07-26 5:59,3.5, ,38.8,125.7,북한 황해북도 송림 북동쪽 9km 지역
1980-08-23 11:24,2.5, ,37.1,125.3,충남 태안군 서격렬비열도 북북서쪽 59km 해역
1980-09-25 13:00,2.6, ,39.5,126,북한 평안남도 개천 남남동쪽 24km 지역
1980-11-28 12:59,2.6, ,39.4,125.8,북한 평안남도 평성 북북서쪽 19km 지역
1980-11-28 14:27,2.7, ,38.8,125.6,북한 황해북도 송림 북북서쪽 8km 지역
